,index,Parent,Agency No.,Name,Contact,Operating Hours,Address,Zip Code,Unnamed: 7,Status,Latitude,Longitude,Filter_1,Filter_2,Requirements/Comments,Services Offered,Parent Agency No.,Input,Model_Output,day,hour,window
48,13,C1014,C1014FP,Care Pantry - Apex The Point Church,919-467-9159,Saturday 11am-12pm,1402 E Williams St Apex 27539,27539,Wake,Confirmed,35.7127315,-78.8402856,Food Distribution,Food Pantries,,,C1014,Saturday 11am-12pm,"[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Saturday,11,10:00–11:59
49,14,C1015,C1015FP,Praise Temple Multi-Cultural Mobile Market,919-833-8513,4th Saturday of month 10-11am,1426 Wake Forest Rd Raleigh 27604,27604,Wake,Confirmed,35.7985776,-78.62655219999999,Food Distribution,Food Pantries,,,C1015,4th Saturday of month 10-11am,"[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""4""
        ]
    }
]",Saturday,10,10:00–11:59
50,15,C1016,C1016FP,Green Pines Baptist Church,919-266-1613,"Wednesdays, 5:30 to 6 pm",1498 Hodge Road Knightdale NC 27545,27545,Wake,Confirmed,35.7843968,-78.5281056,Food Distribution,Food Pantries,,,C1016,"Wednesdays, 5:30 to 6 pm","[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""05:30 pm"",
        ""Closing_Hour"": ""06:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Wednesday,17,16:00–17:59
51,16,C1017,C1017FP,Hephzibah Baptist Church,919-365-7847,Monday and Wednesday 1-3pm,"1794 Wendell Blvd Wendell, NC 27591",27591,Wake,Confirmed,35.8015777,-78.4001632,Food Distribution,Food Pantries,,,C1017,Monday and Wednesday 1-3pm,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1""
        ]
    }
]",Monday,13,12:00–13:59
53,16,C1017,C1017FP,Hephzibah Baptist Church,919-365-7847,Monday and Wednesday 1-3pm,"1794 Wendell Blvd Wendell, NC 27591",27591,Wake,Confirmed,35.8015777,-78.4001632,Food Distribution,Food Pantries,,,C1017,Monday and Wednesday 1-3pm,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1""
        ]
    }
]",Wednesday,13,12:00–13:59
55,17,C1018,C1018FP,A Place Called Hope,919-662-8019,1st Saturday  9am-1pm  2nd and 4th Wednesday 5pm-7pm,1809 Garner Station Blvd Raleigh 27603,27603,Wake,Confirmed,35.7243648,-78.6597668,Food Distribution,Food Pantries,,,C1018,1st Saturday  9am-1pm  2nd and 4th Wednesday 5pm-7pm,"[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""2"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""05:00 pm"",
        ""Closing_Hour"": ""07:00 pm"",
        ""Week"": [
            ""2"",
            ""4""
        ]
    }
]",Saturday,9,08:00–09:59
59,17,C1018,C1018FP,A Place Called Hope,919-662-8019,1st Saturday  9am-1pm  2nd and 4th Wednesday 5pm-7pm,1809 Garner Station Blvd Raleigh 27603,27603,Wake,Confirmed,35.7243648,-78.6597668,Food Distribution,Food Pantries,,,C1018,1st Saturday  9am-1pm  2nd and 4th Wednesday 5pm-7pm,"[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""2"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""05:00 pm"",
        ""Closing_Hour"": ""07:00 pm"",
        ""Week"": [
            ""2"",
            ""4""
        ]
    }
]",Wednesday,17,16:00–17:59
61,18,C1020,C1020FP,Gethsemane SDA Church,919-614-5106,1st and 3rd Thursday 1-4pm,2525 Sanderford Rd Raleigh 27610,27610,Wake,Confirmed,35.7445805,-78.61337189999999,Food Distribution,Food Pantries,,,C1020,1st and 3rd Thursday 1-4pm,"[
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""3""
        ]
    }
]",Thursday,13,12:00–13:59
64,19,C1021,C1021FP,Straightway Temple Ministries,919-269-5070,3rd Wednesday of month 11am-1pm,"3009 Rosinburg Rd Zebulon, NC 27597",27597,Wake,Confirmed,35.8604177,-78.2960267,Food Distribution,Food Pantries,,,C1021,3rd Wednesday of month 11am-1pm,"[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""3""
        ]
    }
]",Wednesday,11,10:00–11:59
66,20,C1022,C1022FP,Islamic Association of Raleigh Food Pantry,919-834-9572,"1st Saturday, 10 am to 12 noon",3032 Ligon Street Raleigh NC 27607,27607,Wake,Confirmed,35.7894045,-78.69200330000001,Food Distribution,Food Pantries,,,C1022,"1st Saturday, 10 am to 12 noon","[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1""
        ]
    }
]",Saturday,10,10:00–11:59
68,21,C1023,C1023FP,Extended Hands Mobile Market at St John United Holy Church,919-333-2118,"2nd Tuesday of each month, 10-11 am","3201 Jack Mitchell Rd, Zebulon, NC 27597",27597,Wake,Confirmed,35.8680815,-78.3528417,Food Distribution,Food Pantries,Drive through,,C1023,"2nd Tuesday of each month, 10-11 am","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""2""
        ]
    }
]",Tuesday,10,10:00–11:59
69,22,C1024,C1024FP,First Worldwide Ministries,919-948-7003,Friday 4:30-5:30pm,3201 New Bern Avenue Raleigh 27610,27610,Wake,Confirmed,35.7904954,-78.5879755,Food Distribution,Food Pantries,,,C1024,Friday 4:30-5:30pm,"[
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""04:30 pm"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Friday,16,16:00–17:59
71,23,C1025,C1025FP,Wake Crossroads,919-266-2957,"3rd Thursday, 4-6 pm","3328 Forestville Road, Raleigh, NC 27616",27616,Wake,Confirmed,35.8847667,-78.51113509999999,Food Distribution,Food Pantries,,,C1025,"3rd Thursday, 4-6 pm","[
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""04:00 pm"",
        ""Closing_Hour"": ""06:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,16,16:00–17:59
73,25,C1027,C1027FP,Hope House Friendship Chapel Church,919-263-1007,Thursday 1-1:45pm,334 North Allen Rd Wake Forest 27587,27587,Wake,Confirmed,35.9808003,-78.5003629,Food Distribution,Food Pantries,,,C1027,Thursday 1-1:45pm,"[
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""01:45 pm"",
        ""Week"": [
            ""1""
        ]
    }
]",Thursday,13,12:00–13:59
74,26,C1028,C1028FP,New Fellowship Ministry Food Pantry ,919-362-9100,Thursday 11am-12pm 10am-12pm in summer,"3515 Crittenden Lane Holly Springs, NC 27540",27540,Wake,Confirmed,35.681182,-78.83581579999999,Food Distribution,Food Pantries,,,C1028,Thursday 11am-12pm 10am-12pm in summer,"[
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1""
        ]
    }
]",Thursday,10,10:00–11:59
77,27,C1029,C1029FP,Centro Christiano Emanuel,919-523-4167,1st and 3rd Friday 9:30am-1pm,"3603 Bastion Ln., Ste. 101 Raleigh 27604",27604,Wake,Confirmed,35.797933,-78.58608389999999,Food Distribution,Food Pantries,,,C1029,1st and 3rd Friday 9:30am-1pm,"[
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""3""
        ]
    }
]",Friday,9,08:00–09:59
81,28,C1030,C1030FP,Wendell Baptist Church,919-365-4631,Monday (3:30-5:30 pm) and 2nd/4th Saturdays (10-12 pm),"3651 Wendell Boulevard, Wendell, NC 27591",27591,Wake,Confirmed,35.7848859,-78.3688519,Food Distribution,Food Pantries,,,C1030,Monday (3:30-5:30 pm) and 2nd/4th Saturdays (10-12 pm),"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""2"",
            ""4""
        ]
    }
]",Monday,15,14:00–15:59
84,28,C1030,C1030FP,Wendell Baptist Church,919-365-4631,Monday (3:30-5:30 pm) and 2nd/4th Saturdays (10-12 pm),"3651 Wendell Boulevard, Wendell, NC 27591",27591,Wake,Confirmed,35.7848859,-78.3688519,Food Distribution,Food Pantries,,,C1030,Monday (3:30-5:30 pm) and 2nd/4th Saturdays (10-12 pm),"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""2"",
            ""4""
        ]
    }
]",Saturday,10,10:00–11:59
86,30,C1032,C1032FP,Zebulon Baptist Church,919-269-7329,Monday and Wednesday 10am-12pm,"400 N. Arendell Ave. Zebulon, NC 27597",27597,Wake,Confirmed,35.8254007,-78.3140734,Food Distribution,Food Pantries,,,C1032,Monday and Wednesday 10am-12pm,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Monday,10,10:00–11:59
88,30,C1032,C1032FP,Zebulon Baptist Church,919-269-7329,Monday and Wednesday 10am-12pm,"400 N. Arendell Ave. Zebulon, NC 27597",27597,Wake,Confirmed,35.8254007,-78.3140734,Food Distribution,Food Pantries,,,C1032,Monday and Wednesday 10am-12pm,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Wednesday,10,10:00–11:59
90,31,C1033,C1033FP,Greater Pentecostal Church,919-231-9982,"Monday, Wednesday, and Friday 10-11am",414 Rose Ln Raleigh 27610,27610,Wake,Confirmed,35.7713834,-78.5987936,Food Distribution,Food Pantries,,,C1033,"Monday, Wednesday, and Friday 10-11am","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Monday,10,10:00–11:59
91,31,C1033,C1033FP,Greater Pentecostal Church,919-231-9982,"Monday, Wednesday, and Friday 10-11am",414 Rose Ln Raleigh 27610,27610,Wake,Confirmed,35.7713834,-78.5987936,Food Distribution,Food Pantries,,,C1033,"Monday, Wednesday, and Friday 10-11am","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Wednesday,10,10:00–11:59
92,31,C1033,C1033FP,Greater Pentecostal Church,919-231-9982,"Monday, Wednesday, and Friday 10-11am",414 Rose Ln Raleigh 27610,27610,Wake,Confirmed,35.7713834,-78.5987936,Food Distribution,Food Pantries,,,C1033,"Monday, Wednesday, and Friday 10-11am","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Friday,10,10:00–11:59
93,32,C1034,C1034FP,Abundant Life Cathedral,919-539-3420,"4th Saturday of each month, 9am-10am; HOLIDAY CHANGES: November and December will be the 3rd Saturdays","4400 Old Poole Rd, Raleigh, NC 27610",27610,Wake,Confirmed,35.7628589,-78.56581899999999,Food Distribution,Food Pantries,,,C1034,"4th Saturday of each month, 9am-10am; HOLIDAY CHANGES: November and December will be the 3rd Saturdays","[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""10:00 am"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""10:00 am"",
        ""Week"": [
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""10:00 am"",
        ""Week"": [
            ""3""
        ]
    }
]",Saturday,9,08:00–09:59
